Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Referee
2001/02,29/12/01,Bolton,Leicester,2,2,D,1,2,A,5,14,3,8,11,15,4,10,2,3,2,1,"Riley, M. A."
2001/02,29/12/01,Everton,Charlton,0,3,A,0,1,A,7,8,3,4,16,12,3,6,1,3,0,0,"Barber, G. P."
2001/02,29/12/01,Ipswich,Sunderland,5,0,H,4,0,H,13,10,8,3,6,4,3,3,1,1,0,0,"Poll, G."
2001/02,29/12/01,Newcastle,Chelsea,1,2,A,1,2,A,10,12,7,8,11,21,5,3,0,3,0,0,"Bennett, S. G."
2001/02,29/12/01,Southampton,Leeds,0,1,A,0,0,D,12,13,6,7,17,15,3,5,1,1,0,0,"Halsey, M. R."
2001/02,29/12/01,West Ham,Liverpool,1,1,D,1,0,H,17,12,8,8,5,8,9,5,1,0,0,0,"Styles, R."
2001/02,30/12/01,Fulham,Man United,2,3,A,1,2,A,17,19,9,10,14,8,4,3,0,2,0,0,"Gallagher, D. J."
2001/02,01/01/02,Charlton,Ipswich,3,2,H,2,2,D,13,6,8,4,19,12,11,4,2,2,0,0,"Rennie, U. D."
2001/02,01/01/02,Chelsea,Southampton,2,4,A,2,1,H,13,8,6,5,14,18,2,6,2,1,0,0,"Wolstenholme, E. K."
2001/02,01/01/02,Leeds,West Ham,3,0,H,2,0,H,12,9,11,4,15,8,8,6,3,2,0,0,"Dunn, S. W."
2001/02,01/01/02,Liverpool,Bolton,1,1,D,0,0,D,15,7,5,6,8,15,4,8,1,4,0,0,"Wilkes, C. R."
2001/02,01/01/02,Middlesbrough,Everton,1,0,H,0,0,D,10,11,4,3,12,10,5,6,1,2,0,0,"Styles, R."
2001/02,01/01/02,Sunderland,Aston Villa,1,1,D,0,0,D,18,8,11,4,14,13,7,0,1,3,0,0,"Riley, M. A."
2001/02,01/01/02,Tottenham,Blackburn,1,0,H,1,0,H,12,11,7,7,14,17,7,9,0,1,0,0,"Winter, J. T."
2001/02,02/01/02,Derby,Fulham,0,1,A,0,0,D,10,8,0,4,17,7,10,3,1,2,0,0,"Knight, B."
2001/02,02/01/02,Man United,Newcastle,3,1,H,1,0,H,11,11,7,6,11,8,6,5,1,1,0,0,"Jones, P."
2001/02,09/01/02,Southampton,Liverpool,2,0,H,0,0,D,9,7,7,4,12,7,5,6,0,1,0,0,"Poll, G."
2001/02,12/01/02,Aston Villa,Derby,2,1,H,2,1,H,9,3,5,1,15,13,4,1,2,3,0,1,"Halsey, M. R."
2001/02,12/01/02,Blackburn,Charlton,4,1,H,2,0,H,18,9,11,6,12,11,7,2,0,0,0,1,"Barry, N. S."
2001/02,12/01/02,Bolton,Chelsea,2,2,D,0,0,D,11,9,5,4,10,11,10,3,0,1,0,0,"Winter, J. T."
2001/02,12/01/02,Everton,Sunderland,1,0,H,1,0,H,9,6,5,1,11,16,4,5,1,1,0,0,"Elleray, D. R."
2001/02,12/01/02,Fulham,Middlesbrough,2,1,H,2,1,H,19,8,11,4,15,18,10,2,1,2,0,0,"Dean, M. L"
2001/02,12/01/02,Ipswich,Tottenham,2,1,H,1,0,H,8,11,5,6,3,1,5,5,0,1,0,0,"Messias, M. D."
2001/02,12/01/02,Newcastle,Leeds,3,1,H,1,1,D,16,8,8,6,17,28,6,1,3,6,0,1,"Barber, G. P."
2001/02,12/01/02,West Ham,Leicester,1,0,H,1,0,H,11,5,7,3,10,11,5,4,1,2,0,0,"Gallagher, D. J."
2001/02,13/01/02,Arsenal,Liverpool,1,1,D,0,0,D,11,5,4,2,15,16,3,1,1,1,0,0,"Dunn, S. W."
2001/02,13/01/02,Southampton,Man United,1,3,A,1,2,A,12,11,4,7,11,8,8,6,1,1,0,0,"Bennett, S. G."
2001/02,19/01/02,Derby,Ipswich,1,3,A,0,0,D,13,13,5,5,7,16,3,3,0,2,0,0,"Durkin, P. A."
2001/02,19/01/02,Leicester,Newcastle,0,0,D,0,0,D,8,9,4,3,17,19,6,11,2,2,0,0,"Wiley, A. G."
2001/02,19/01/02,Liverpool,Southampton,1,1,D,1,0,H,9,6,5,2,10,17,8,3,0,1,0,0,"Barry, N. S."
2001/02,19/01/02,Man United,Blackburn,2,1,H,1,0,H,16,10,6,4,13,13,8,3,1,0,0,0,"Rennie, U. D."
2001/02,19/01/02,Middlesbrough,Bolton,1,1,D,1,0,H,11,7,3,4,16,17,2,6,1,1,0,0,"Poll, G."
2001/02,19/01/02,Sunderland,Fulham,1,1,D,0,1,A,16,9,8,2,19,13,11,2,3,2,0,0,"Jones, P."
2001/02,19/01/02,Tottenham,Everton,1,1,D,1,1,D,12,4,4,2,14,17,14,5,0,2,0,0,"Wilkes, C. R."
2001/02,20/01/02,Chelsea,West Ham,5,1,H,1,0,H,22,5,15,4,13,10,6,4,3,1,0,1,"D'Urso, A. P."
2001/02,20/01/02,Leeds,Arsenal,1,1,D,1,1,D,6,9,1,6,18,16,3,7,1,2,0,0,"Halsey, M. R."
2001/02,21/01/02,Charlton,Aston Villa,1,2,A,0,2,A,9,7,5,3,7,11,3,2,1,1,0,0,"Styles, R"
2001/02,22/01/02,Man United,Liverpool,0,1,A,0,0,D,12,9,3,5,15,16,11,2,1,2,0,0,"Barber, G. P."
2001/02,23/01/02,Leicester,Arsenal,1,3,A,0,2,A,3,13,2,8,12,9,7,7,2,0,0,0,"Elleray, D. R."
2001/02,29/01/02,Bolton,Man United,0,4,A,0,2,A,15,21,4,12,10,9,1,9,0,0,0,0,"D'Urso, A. P."
2001/02,29/01/02,Charlton,Derby,1,0,H,0,0,D,11,3,3,2,11,13,9,0,1,2,0,0,"Pugh, D."
2001/02,29/01/02,Sunderland,Middlesbrough,0,1,A,0,1,A,18,6,8,2,12,13,15,3,0,2,0,1,"Durkin, P."
2001/02,30/01/02,Aston Villa,Everton,0,0,D,0,0,D,8,6,2,0,14,21,5,1,1,3,0,0,"Foy, C. J."
2001/02,30/01/02,Blackburn,Arsenal,2,3,A,2,2,D,10,9,4,5,18,21,6,2,2,2,0,1,"Gallagher, D. J."
2001/02,30/01/02,Chelsea,Leeds,2,0,H,2,0,H,14,6,3,4,11,22,5,6,1,2,0,0,"Bennett, S. G."
2001/02,30/01/02,Ipswich,Fulham,1,0,H,1,0,H,13,7,8,3,18,11,10,5,1,2,0,0,"Wiley, A. G."
2001/02,30/01/02,Liverpool,Leicester,1,0,H,0,0,D,11,3,4,0,9,21,9,3,1,2,0,0,"Knight, B."
2001/02,30/01/02,Southampton,West Ham,2,0,H,1,0,H,10,11,8,4,16,13,4,2,0,3,0,0,"Dowd, P."
2001/02,30/01/02,Tottenham,Newcastle,1,3,A,1,0,H,8,10,6,4,8,5,5,4,1,1,0,0,"Dean, M. L"
2001/02,02/02/02,Arsenal,Southampton,1,1,D,1,0,H,14,4,4,1,13,22,4,3,2,3,0,0,"Wilkes, C. R."
2001/02,02/02/02,Derby,Tottenham,1,0,H,1,0,H,12,7,7,3,21,8,9,6,3,2,0,0,"Rennie, U. D."
2001/02,02/02/02,Everton,Ipswich,1,2,A,1,2,A,9,5,4,3,19,16,2,4,1,0,0,0,"Dunn, S. W."
2001/02,02/02/02,Fulham,Aston Villa,0,0,D,0,0,D,9,15,3,9,12,14,9,4,1,2,0,0,"Messias, M. D."
2001/02,02/02/02,Leicester,Chelsea,2,3,A,1,0,H,16,9,9,5,16,17,6,2,1,3,0,0,"Barber, G. P."
2001/02,02/02/02,Man United,Sunderland,4,1,H,4,1,H,18,6,8,3,6,11,11,2,1,3,0,0,"Styles, R."
2001/02,02/02/02,Newcastle,Bolton,3,2,H,2,2,D,10,10,6,6,3,9,13,6,0,0,0,0,"Elleray, D. R."
2001/02,02/02/02,West Ham,Blackburn,2,0,H,1,0,H,13,14,6,2,10,20,5,8,2,3,0,0,"Jones, P."
2001/02,03/02/02,Leeds,Liverpool,0,4,A,0,1,A,13,11,5,7,14,9,7,6,2,1,0,0,"Poll, G."
2001/02,03/02/02,Middlesbrough,Charlton,0,0,D,0,0,D,7,8,3,2,17,15,5,7,1,2,0,0,"Riley, M. A."
2001/02,09/02/02,Aston Villa,Chelsea,1,1,D,1,0,H,7,9,3,3,10,10,3,8,1,1,0,0,"Durkin, P. A."
2001/02,09/02/02,Bolton,West Ham,1,0,H,1,0,H,4,9,3,2,11,12,4,10,1,3,0,0,"Pugh, D."
2001/02,09/02/02,Derby,Sunderland,0,1,A,0,0,D,9,8,4,4,13,15,7,8,0,1,0,0,"Poll, G."
2001/02,09/02/02,Fulham,Blackburn,2,0,H,1,0,H,13,10,8,6,18,15,5,2,3,2,0,1,"Halsey, M. R."
2001/02,09/02/02,Ipswich,Liverpool,0,6,A,0,2,A,4,14,2,11,2,4,7,9,0,0,0,0,"Bennett, S. G."
2001/02,09/02/02,Middlesbrough,Leeds,2,2,D,0,1,A,10,10,5,6,15,11,7,4,1,1,0,0,"Barry, N. S."
2001/02,09/02/02,Newcastle,Southampton,3,1,H,3,1,H,16,11,10,4,7,8,5,4,0,1,0,0,"Knight, B."
2001/02,09/02/02,Tottenham,Leicester,2,1,H,1,0,H,12,7,4,6,8,9,8,8,0,1,0,0,"D'Urso, A. P."
2001/02,10/02/02,Charlton,Man United,0,2,A,0,1,A,9,10,1,5,8,9,7,5,0,1,0,0,"Wiley, A. G."
2001/02,10/02/02,Everton,Arsenal,0,1,A,0,0,D,6,6,2,3,17,20,1,5,0,5,0,0,"Winter, J. T."
2001/02,19/02/02,Middlesbrough,Fulham,2,1,H,1,0,H,11,10,5,5,13,14,8,10,1,2,0,0,"Gallagher, D. J."
2001/02,23/02/02,Arsenal,Fulham,4,1,H,3,1,H,16,6,10,5,19,14,7,5,0,1,0,0,"Rennie, U. D."
2001/02,23/02/02,Leicester,Derby,0,3,A,0,0,D,6,5,3,4,16,15,8,2,4,2,0,0,"Riley, M. A."
2001/02,23/02/02,Liverpool,Everton,1,1,D,0,0,D,13,6,5,3,9,13,9,4,0,2,0,0,"Elleray, D. R."
2001/02,23/02/02,Man United,Aston Villa,1,0,H,0,0,D,14,4,4,2,9,9,9,2,0,0,0,0,"Winter, J. T."
2001/02,23/02/02,Southampton,Bolton,0,0,D,0,0,D,8,4,2,2,17,9,6,6,1,3,1,0,"Wolstenholme, E. K."
2001/02,23/02/02,West Ham,Middlesbrough,1,0,H,0,0,D,12,7,8,4,17,11,12,3,2,5,0,1,"Foy, C. J."
2001/02,24/02/02,Leeds,Charlton,0,0,D,0,0,D,14,9,2,2,12,17,9,2,0,3,0,0,"Dean, M. L"
2001/02,24/02/02,Sunderland,Newcastle,0,1,A,0,0,D,11,13,4,5,19,16,5,11,3,1,0,0,"Barber, G. P."
2001/02,02/03/02,Aston Villa,West Ham,2,1,H,1,1,D,10,4,7,3,12,19,9,4,0,1,0,0,"Barber, G. P."
2001/02,02/03/02,Bolton,Blackburn,1,1,D,1,0,H,11,6,5,3,22,11,7,5,1,0,0,1,"Durkin, P. A."
2001/02,02/03/02,Charlton,Chelsea,2,1,H,0,0,D,9,4,6,2,13,13,5,4,2,1,0,0,"Poll, G."
2001/02,02/03/02,Fulham,Liverpool,0,2,A,0,1,A,11,10,5,4,13,14,8,4,3,2,0,0,"Wiley, A. G."
2001/02,02/03/02,Ipswich,Southampton,1,3,A,0,0,D,8,5,4,4,9,5,4,3,0,1,0,0,"Halsey, M. R."
2001/02,02/03/02,Middlesbrough,Leicester,1,0,H,1,0,H,11,6,7,1,17,15,5,6,2,4,0,0,"Wolstenholme, E. K."
2001/02,02/03/02,Newcastle,Arsenal,0,2,A,0,2,A,13,9,6,6,17,17,5,8,0,1,0,0,"Barry, N. S."
2001/02,02/03/02,Tottenham,Sunderland,2,1,H,1,1,D,17,7,7,2,5,8,5,5,0,1,0,0,"Styles, R."
2001/02,03/03/02,Derby,Man United,2,2,D,1,1,D,12,22,7,9,12,13,4,10,2,0,0,0,"Dunn, S. W."
2001/02,03/03/02,Everton,Leeds,0,0,D,0,0,D,12,7,7,3,9,21,3,4,1,2,0,1,"D'Urso, A. P."
2001/02,05/03/02,Arsenal,Derby,1,0,H,0,0,D,17,0,8,0,13,16,9,1,1,2,0,0,"Barber, G. P."
2001/02,05/03/02,Blackburn,Aston Villa,3,0,H,1,0,H,21,6,9,4,11,15,5,5,1,2,0,0,"Bennett, S. G."
2001/02,05/03/02,Sunderland,Bolton,1,0,H,1,0,H,11,10,4,4,13,14,1,7,2,1,0,0,"Poll, G."
2001/02,06/03/02,Chelsea,Fulham,3,2,H,2,1,H,14,12,8,6,12,12,3,5,1,0,0,0,"Jones, P."
2001/02,06/03/02,Leeds,Ipswich,2,0,H,0,0,D,11,9,7,3,11,15,7,5,1,3,0,0,"Gallagher, D. J."
2001/02,06/03/02,Liverpool,Newcastle,3,0,H,1,0,H,23,11,11,2,8,13,5,6,0,0,0,0,"Winter, J. T."
2001/02,06/03/02,Man United,Tottenham,4,0,H,2,0,H,25,7,14,2,6,13,14,3,2,3,0,1,"Riley, M. A."
2001/02,06/03/02,Southampton,Middlesbrough,1,1,D,1,0,H,9,4,4,1,17,12,13,1,1,1,0,1,"Rennie, U. D."
2001/02,06/03/02,West Ham,Everton,1,0,H,0,0,D,16,6,6,2,8,13,10,3,0,2,0,0,"Knight, B."
2001/02,09/03/02,Leicester,Charlton,1,1,D,1,1,D,10,11,5,6,15,16,11,5,1,3,0,0,"Wilkes, C. R."
2001/02,13/03/02,Blackburn,Ipswich,2,1,H,2,0,H,11,6,7,3,24,17,9,2,3,2,0,0,"Dowd, P."
2001/02,13/03/02,Chelsea,Tottenham,4,0,H,1,0,H,24,5,13,0,10,14,6,3,1,3,0,1,"Wiley, A. G."
2001/02,16/03/02,Bolton,Derby,1,3,A,0,1,A,6,3,2,2,13,13,7,3,0,0,1,0,"Elleray, D. R."
2001/02,16/03/02,Chelsea,Sunderland,4,0,H,1,0,H,12,8,7,3,8,13,6,3,2,2,0,0,"Knight, B."
2001/02,16/03/02,Everton,Fulham,2,1,H,2,0,H,5,11,2,5,16,15,0,11,2,4,1,0,"Barber, G. P."
2001/02,16/03/02,Middlesbrough,Liverpool,1,2,A,0,1,A,15,8,5,7,10,12,7,3,0,2,0,0,"D'Urso, A. P."
2001/02,16/03/02,Newcastle,Ipswich,2,2,D,0,0,D,20,7,8,4,11,15,12,3,1,1,0,0,"Riley, M. A."
2001/02,16/03/02,Southampton,Leicester,2,2,D,1,2,A,9,6,5,4,15,13,6,2,0,3,0,0,"Dean, M. L"
2001/02,16/03/02,West Ham,Man United,3,5,A,2,2,D,10,14,3,9,13,8,3,3,2,2,0,0,"Halsey, M. R."
2001/02,17/03/02,Aston Villa,Arsenal,1,2,A,1,0,H,8,6,3,3,10,12,10,2,1,2,0,0,"Dunn, S. W."
2001/02,17/03/02,Leeds,Blackburn,3,1,H,2,0,H,18,15,8,8,15,16,4,4,2,1,0,0,"Poll, G."
2001/02,18/03/02,Tottenham,Charlton,0,1,A,0,0,D,13,10,5,4,5,13,4,6,1,0,0,0,"Winter, J. T."
2001/02,23/03/02,Charlton,Bolton,1,2,A,0,2,A,6,6,4,4,15,17,4,1,1,2,0,0,"Foy, C. J."
2001/02,23/03/02,Derby,Everton,3,4,A,0,1,A,12,8,4,7,12,21,8,0,2,3,0,0,"Barry, N. S."
2001/02,23/03/02,Ipswich,Aston Villa,0,0,D,0,0,D,13,6,3,2,15,12,8,6,1,2,0,0,"Pugh, D."
2001/02,23/03/02,Leicester,Leeds,0,2,A,0,2,A,11,12,5,8,12,10,8,7,2,2,0,0,"Dunn, S. W."
2001/02,23/03/02,Man United,Middlesbrough,0,1,A,0,1,A,18,5,4,3,9,11,6,2,4,2,0,0,"Bennett, S. G."
2001/02,23/03/02,Sunderland,Southampton,1,1,D,0,0,D,10,14,7,8,10,14,3,8,2,3,0,0,"Messias, M. D."
2001/02,24/03/02,Fulham,Tottenham,0,2,A,0,2,A,9,11,3,4,16,13,4,6,2,2,0,0,"Durkin, P. A."
2001/02,24/03/02,Liverpool,Chelsea,1,0,H,0,0,D,8,10,4,1,17,13,5,3,1,1,0,0,"Halsey, M. R."
2001/02,29/03/02,Newcastle,Everton,6,2,H,2,2,D,18,7,9,4,5,8,4,1,0,3,0,0,"Poll, G."
2001/02,30/03/02,Arsenal,Sunderland,3,0,H,3,0,H,13,13,10,5,8,17,5,4,0,3,0,0,"Durkin, P. A."
2001/02,30/03/02,Bolton,Aston Villa,3,2,H,2,2,D,9,9,6,3,16,13,2,5,3,1,0,0,"Styles, R."
2001/02,30/03/02,Chelsea,Derby,2,1,H,0,0,D,13,2,6,1,13,10,6,3,3,4,0,0,"Dean, M. L"
2001/02,30/03/02,Leeds,Man United,3,4,A,1,3,A,16,13,11,7,10,9,2,3,1,2,0,0,"Elleray, D. R."
2001/02,30/03/02,Leicester,Blackburn,2,1,H,1,0,H,9,12,6,4,12,24,6,6,0,1,0,0,"Barber, G. P."
2001/02,30/03/02,Liverpool,Charlton,2,0,H,2,0,H,14,6,8,1,6,10,6,6,1,2,0,0,"Gallagher, D. J."
2001/02,30/03/02,Middlesbrough,Tottenham,1,1,D,0,1,A,8,10,3,6,9,16,9,6,0,3,0,0,"Dowd, P."
2001/02,30/03/02,Southampton,Fulham,1,1,D,1,1,D,11,7,6,2,12,17,5,8,1,1,0,0,"Winter, J. T."
2001/02,30/03/02,West Ham,Ipswich,3,1,H,1,0,H,18,12,11,5,9,13,8,4,0,2,0,0,"Wiley, A. G."
2001/02,01/04/02,Blackburn,Southampton,2,0,H,2,0,H,7,5,4,2,10,13,5,2,0,1,0,0,"Wilkes, C. R."
2001/02,01/04/02,Charlton,Arsenal,0,3,A,0,3,A,5,12,5,8,7,15,9,2,2,2,0,0,"D'Urso, A. P."
2001/02,01/04/02,Derby,Middlesbrough,0,1,A,0,1,A,7,6,4,1,14,17,7,7,1,0,0,0,"Durkin, P. A."
2001/02,01/04/02,Everton,Bolton,3,1,H,1,0,H,10,12,5,3,8,11,5,5,1,1,1,1,"Bennett, S. G."
2001/02,01/04/02,Fulham,West Ham,0,1,A,0,1,A,10,3,2,2,10,12,7,1,1,1,0,0,"Halsey, M. R."
2001/02,01/04/02,Ipswich,Chelsea,0,0,D,0,0,D,9,7,5,2,6,9,6,8,0,0,0,0,"Wolstenholme, E. K."
2001/02,01/04/02,Sunderland,Leicester,2,1,H,2,1,H,12,9,9,7,12,11,5,1,3,2,0,0,"Barry, N. S."
2001/02,01/04/02,Tottenham,Leeds,2,1,H,2,0,H,8,17,5,8,15,12,1,7,2,0,0,0,"Rennie, U. D."
2001/02,02/04/02,Aston Villa,Newcastle,1,1,D,1,1,D,16,6,7,1,12,15,11,2,0,0,0,0,"Dunn, S. W."
2001/02,06/04/02,Arsenal,Tottenham,2,1,H,1,0,H,13,2,5,2,15,17,10,1,1,4,0,0,"Halsey, M. R."
2001/02,06/04/02,Bolton,Ipswich,4,1,H,4,0,H,9,9,5,4,9,11,3,8,0,0,0,0,"Winter, J. T."
2001/02,06/04/02,Chelsea,Everton,3,0,H,2,0,H,19,12,8,6,6,10,7,8,0,1,0,0,"Elleray, D. R."
2001/02,06/04/02,Leicester,Man United,0,1,A,0,0,D,13,13,3,4,13,8,4,10,1,1,0,0,"D'Urso, A. P."
2001/02,06/04/02,Middlesbrough,Aston Villa,2,1,H,1,0,H,7,12,3,9,9,15,5,8,0,0,0,0,"Barber, G. P."
2001/02,06/04/02,Southampton,Derby,2,0,H,1,0,H,10,8,5,3,10,9,5,6,1,0,0,0,"Bennett, S. G."
2001/02,06/04/02,West Ham,Charlton,2,0,H,2,0,H,11,18,4,8,7,9,3,13,1,4,0,0,"Riley, M. A."
2001/02,07/04/02,Leeds,Sunderland,2,0,H,1,0,H,14,8,7,0,18,14,8,4,2,1,0,0,"Jones, P."
2001/02,08/04/02,Newcastle,Fulham,1,1,D,1,0,H,7,5,4,3,16,10,6,2,1,0,0,0,"Wiley, A. G."
2001/02,10/04/02,Blackburn,Chelsea,0,0,D,0,0,D,15,8,7,2,7,13,5,5,0,0,0,0,"Dunn, S. W."
2001/02,13/04/02,Aston Villa,Leeds,0,1,A,0,1,A,10,5,5,2,16,18,7,2,2,3,0,0,"Knight, B."
2001/02,13/04/02,Charlton,Southampton,1,1,D,1,0,H,8,10,5,6,21,12,7,5,2,2,0,0,"Dowd, P."
2001/02,13/04/02,Derby,Newcastle,2,3,A,0,0,D,6,15,2,9,13,11,6,2,3,1,0,0,"Styles, R."
2001/02,13/04/02,Everton,Leicester,2,2,D,0,2,A,16,6,8,2,15,6,13,4,1,1,0,0,"Rennie, U. D."
2001/02,13/04/02,Sunderland,Liverpool,0,1,A,0,0,D,10,10,5,5,10,11,4,3,1,2,1,0,"Gallagher, D. J."
2001/02,13/04/02,Tottenham,West Ham,1,1,D,0,0,D,16,12,6,5,11,6,3,5,0,0,0,0,"Barry, N. S."
2001/02,20/04/02,Bolton,Tottenham,1,1,D,0,1,A,13,10,6,4,13,15,13,3,1,3,0,0,"Messias, M. D."
2001/02,20/04/02,Chelsea,Man United,0,3,A,0,2,A,7,6,2,5,9,6,12,5,4,1,0,0,"Barber, G. P."
2001/02,20/04/02,Leeds,Fulham,0,1,A,0,0,D,9,7,4,4,12,16,1,4,2,3,0,0,"Styles, R."
2001/02,20/04/02,Leicester,Aston Villa,2,2,D,1,2,A,10,16,7,11,11,15,5,4,1,0,0,0,"Poll, G."
2001/02,20/04/02,Liverpool,Derby,2,0,H,1,0,H,13,4,5,1,8,16,9,4,0,3,0,0,"Riley, M. A."
2001/02,20/04/02,Middlesbrough,Blackburn,1,3,A,0,1,A,8,9,2,5,15,21,7,9,3,3,1,0,"Barry, N. S."
2001/02,20/04/02,Newcastle,Charlton,3,0,H,1,0,H,12,4,8,1,12,9,8,7,1,2,0,0,"Dean, M. L"
2001/02,20/04/02,Southampton,Everton,0,1,A,0,1,A,6,7,0,5,13,18,1,7,2,0,0,0,"Halsey, M. R."
2001/02,20/04/02,West Ham,Sunderland,3,0,H,1,0,H,16,10,7,5,8,9,9,6,3,2,0,0,"Bennett, S. G."
2001/02,21/04/02,Arsenal,Ipswich,2,0,H,0,0,D,20,7,8,2,9,9,14,2,1,0,0,0,"Wiley, A. G."
2001/02,23/04/02,Blackburn,Newcastle,2,2,D,1,0,H,12,21,5,9,15,11,6,6,0,2,0,0,"Rennie, U. D."
2001/02,23/04/02,Fulham,Bolton,3,0,H,1,0,H,12,7,7,2,5,9,3,6,0,0,0,0,"Durkin, P. A."
2001/02,24/04/02,Arsenal,West Ham,2,0,H,0,0,D,20,5,9,1,12,13,12,2,2,2,0,0,"Dunn, S. W."
2001/02,24/04/02,Ipswich,Middlesbrough,1,0,H,0,0,D,17,13,7,4,13,13,4,5,0,2,0,0,"D'Urso, A. P."
2001/02,27/04/02,Aston Villa,Southampton,2,1,H,2,0,H,8,7,5,3,11,8,7,1,2,1,0,0,"Elleray, D. R."
2001/02,27/04/02,Charlton,Sunderland,2,2,D,1,2,A,11,6,7,3,16,13,10,5,2,3,0,0,"Wolstenholme, E. K."
2001/02,27/04/02,Derby,Leeds,0,1,A,0,1,A,9,10,1,4,12,19,5,6,2,0,0,0,"Poll, G."
2001/02,27/04/02,Fulham,Leicester,0,0,D,0,0,D,9,4,2,2,12,15,7,2,3,4,0,0,"Yates, N"
2001/02,27/04/02,Ipswich,Man United,0,1,A,0,1,A,12,16,4,8,11,10,5,5,2,0,0,0,"Styles, R."
2001/02,27/04/02,Middlesbrough,Chelsea,0,2,A,0,2,A,10,14,2,8,11,13,4,6,3,1,0,0,"Knight, B."
2001/02,27/04/02,Newcastle,West Ham,3,1,H,1,1,D,16,11,5,5,10,8,8,2,1,2,0,0,"Durkin, P. A."
2001/02,27/04/02,Tottenham,Liverpool,1,0,H,1,0,H,11,11,5,7,9,11,3,8,1,1,0,0,"Jones, P."
2001/02,28/04/02,Everton,Blackburn,1,2,A,0,1,A,10,14,4,6,12,9,9,5,2,2,0,0,"Winter, J. T."
2001/02,29/04/02,Bolton,Arsenal,0,2,A,0,2,A,7,8,1,4,10,8,7,3,0,0,0,0,"Gallagher, D. J."
2001/02,08/05/02,Liverpool,Blackburn,4,3,H,2,1,H,15,9,7,7,9,12,8,7,1,1,0,0,"Wiley, A. G."
2001/02,08/05/02,Man United,Arsenal,0,1,A,0,0,D,9,5,3,2,21,16,6,5,4,2,0,0,"Durkin, P. A."
2001/02,11/05/02,Arsenal,Everton,4,3,H,2,2,D,17,14,6,6,7,5,4,3,0,0,0,0,"Halsey, M. R."
2001/02,11/05/02,Blackburn,Fulham,3,0,H,0,0,D,17,6,13,2,13,7,2,7,3,0,0,0,"Foy, C. J."
2001/02,11/05/02,Chelsea,Aston Villa,1,3,A,0,1,A,15,15,6,11,14,18,7,6,0,1,0,0,"Bennett, S. G."
2001/02,11/05/02,Leeds,Middlesbrough,1,0,H,0,0,D,19,7,5,3,13,15,8,8,2,0,0,0,"Rennie, U. D."
2001/02,11/05/02,Leicester,Tottenham,2,1,H,0,0,D,10,13,6,6,5,6,6,9,0,0,0,0,"Elleray, D. R."
2001/02,11/05/02,Liverpool,Ipswich,5,0,H,2,0,H,15,7,8,2,13,5,0,7,0,0,0,0,"Dunn, S. W."
2001/02,11/05/02,Man United,Charlton,0,0,D,0,0,D,13,11,6,6,8,7,7,4,2,0,0,0,"Poll, G."
2001/02,11/05/02,Southampton,Newcastle,3,1,H,2,0,H,7,16,3,8,15,11,3,6,0,1,1,0,"D'Urso, A. P."
2001/02,11/05/02,Sunderland,Derby,1,1,D,1,0,H,26,5,12,3,11,14,4,2,0,1,0,0,"Wiley, A. G."
2001/02,11/05/02,West Ham,Bolton,2,1,H,1,0,H,17,10,10,4,9,13,9,5,2,1,0,0,"Dean, M. L"
